City,Year,Month,Percipitation
Boston,2016,Aug,1.72
Boston,2016,Sep,1.38
Boston,2016,Oct,5.46
Boston,2016,Nov,2.7
Boston,2016,Dec,3.25
Boston,2017,Jan,4.25
Boston,2017,Feb,3.22
Boston,2017,Mar,4.18
Boston,2017,Apr,5.73
Boston,2017,May,3.45
Boston,2017,Jun,4.85
Boston,2017,Jul,4.03
Boston,2017,Aug,1.58
Boston,2017,Sep,3.73
Boston,2017,Oct,4.14
Boston,2017,Nov,1.8
Boston,2017,Dec,2.49
Boston,2018,Jan,4.92
Boston,2018,Feb,3.77
Boston,2018,Mar,5.07
Boston,2018,Apr,4.62
Boston,2018,May,1.9
Boston,2018,Jun,2.96
Boston,2018,Jul,4.55
Boston,2018,Aug,4.65
Boston,2018,Sep,5.12
Boston,2018,Oct,3.78
Chicago,2016,Aug,4.26
Chicago,2016,Sep,1.76
Chicago,2016,Oct,3.77
Chicago,2016,Nov,1.69
Chicago,2016,Dec,1.77
Chicago,2017,Jan,2.87
Chicago,2017,Feb,1.52
Chicago,2017,Mar,4.01
Chicago,2017,Apr,6.43
Chicago,2017,May,3.28
Chicago,2017,Jun,3.44
Chicago,2017,Jul,7.68
Chicago,2017,Aug,2.51
Chicago,2017,Sep,0.32
Chicago,2017,Oct,8.7
Chicago,2017,Nov,1.75
Chicago,2017,Dec,0.59
Chicago,2018,Jan,1.54
Chicago,2018,Feb,4.64
Chicago,2018,Mar,1.74
Chicago,2018,Apr,2.72
Chicago,2018,May,8.21
Chicago,2018,Jun,7.63
Chicago,2018,Jul,1.14
Chicago,2018,Aug,6.61
Chicago,2018,Sep,3.65
Chicago,2018,Oct,4.79
Atlanta,2016,Aug,3.06
Atlanta,2016,Sep,3.43
Atlanta,2016,Oct,0.16
Atlanta,2016,Nov,2.98
Atlanta,2016,Dec,3
Atlanta,2017,Jan,8.18
Atlanta,2017,Feb,1.87
Atlanta,2017,Mar,2.68
Atlanta,2017,Apr,5.75
Atlanta,2017,May,4.6
Atlanta,2017,Jun,7.71
Atlanta,2017,Jul,2.68
Atlanta,2017,Aug,5.47
Atlanta,2017,Sep,4.25
Atlanta,2017,Oct,3.87
Atlanta,2017,Nov,1.04
Atlanta,2017,Dec,4.38
Atlanta,2018,Jan,3.26
Atlanta,2018,Feb,6.11
Atlanta,2018,Mar,4.86
Atlanta,2018,Apr,6.53
Atlanta,2018,May,4.45
Atlanta,2018,Jun,3.86
Atlanta,2018,Jul,8.04
Atlanta,2018,Aug,7.59
Atlanta,2018,Sep,1.48
Atlanta,2018,Oct,4.75
